2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nemzetiségi önkormányzat,,,,,,,,,,,,
Helység megnevezése,Helység KSH kódja,Helység jogállása,Vármegye megnevezése,Járás kódja,Járás neve,Járás székhelye,"Polgármesteri hivatal, közös önkormányzati hivatal kódja","Polgármesteri hivatal, közös önkormányzati hivatal székhelye",Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Kovácsszénája,14517,község,Baranya,028 0,Pécsi,Pécs,5 ,Orfű,783,65,45,,,,,,,,,,,,,,
Kovácsvágás,28547,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,5 ,Mikóháza,"2,108",589,225,,,,,,,,1,,,,,,
Kozárd,13842,község,Nógrád,118 0,Pásztói,Pásztó,5 ,Szurdokpüspöki,644,161,127,,,,,,,,,,,,,,
Kozármisleny,06336,város,Baranya,028 0,Pécsi,Pécs,2 ,[Helyben],"1,445",6817,2427,,,,1,,1,,1,,,,,,
Kozmadombja,13082,község,Zala,194 0,Lenti,Lenti,5 ,Zalabaksa,763,33,31,,,,,,,,,,,,,,
Köblény,25247,község,Baranya,026 0,Komlói,Komló,5 ,Egyházaskozár,804,190,104,,,,,,,,,,,,,,
Köcsk,04190,község,Vas,176 0,Celldömölki,Celldömölk,5 ,Jánosháza,"1,258",238,155,,,,,,,,,,,,,,
Kökény,03540,község,Baranya,028 0,Pécsi,Pécs,5 ,Keszü,490,635,250,,,,1,,,,,,,,,,
Kőkút,13745,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Mike,"2,023",522,128,,,,,,,,1,,,,,,
Kölcse,16665,nagyközség,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,2 ,[Helyben],"2,824",1167,530,,,,,,,,1,,,,,,
Kölesd,10463,község,Tolna,173 0,Szekszárdi,Szekszárd,2 ,[Helyben],"3,813",1311,592,,,,,,,,,,,,,,
Kölked,17899,község,Baranya,027 0,Mohácsi,Mohács,5 ,Nagynyárád,"6,194",946,374,,,,,,1,,,,,,,,
Kömlő,14535,község,Heves,108 0,Hevesi,Heves,1 ,–,"4,922",1891,656,,,,,,,,1,,,,,,
Kömlőd,07630,község,Komárom-Esztergom,113 0,Oroszlányi,Oroszlány,5 ,Dad,"2,284",1105,395,,,,,,,,,,,,,,
Kömörő,23612,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,5 ,Túristvándi,"1,637",483,230,,,,,,,,,,,,,,
Kömpöc,13806,község,Bács-Kiskun,042 0,Kiskunmajsai,Kiskunmajsa,5 ,Csólyospálos,"2,998",673,345,,,,,,,,,,,,,,
Körmend,13532,város,Vas,177 1,Körmendi,Körmend,2 ,[Helyben],"5,279",10062,5100,,,,,,,,1,,,,,,
Környe,30553,község,Komárom-Esztergom,115 0,Tatabányai,Tatabánya,1 ,–,"4,537",4801,1848,,,,,,1,,,,,,,,
Köröm,26602,község,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,5 ,Sajóhídvég,834,1327,329,,,,,,,,1,,,,,,
Kőröshegy,15510,község,Somogy,146 0,Siófoki,Siófok,2 ,[Helyben],"2,139",1404,693,,,,,,,,,,,,,,
Körösladány,11615,város,Békés,053 0,Szeghalmi,Szeghalom,1 ,–,"12,379",3970,1890,,,,,,,,1,,,,,,
Körösnagyharsány,10764,község,Békés,051 0,Sarkadi,Sarkad,5 ,Okány,"1,991",404,333,,,,,,,,,1,,,,,
Köröstarcsa,12900,község,Békés,045 0,Békési,Békés,2 ,[Helyben],"6,280",2144,1180,,,,,,,,,,,,,,
Kőröstetétlen,32975,község,Pest,124 0,Ceglédi,Cegléd,5 ,Cegléd,"3,265",728,329,,,,,,,,,,,,,,
Körösújfalu,30164,község,Békés,053 0,Szeghalmi,Szeghalom,5 ,Vésztő,"2,530",292,262,,,,,,,,,,,,,,
Körösszakál,31130,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5 ,Berekböszörmény,"1,502",651,331,,,,,,,,1,1,,,,,
Körösszegapáti,08943,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,2 ,[Helyben],"4,585",769,474,,,,,,,,1,1,,,,,
Kőszárhegy,30650,község,Fejér,085 0,Székesfehérvári,Székesfehérvár,5 ,Jenő,590,1547,602,,,,,,,,,,,,,,
Kőszeg,16832,város,Vas,178 1,Kőszegi,Kőszeg,2 ,[Helyben],"5,466",11654,5188,,,,1,,1,,1,,,,,,
Kőszegdoroszló,05740,község,Vas,178 0,Kőszegi,Kőszeg,5 ,Lukácsháza,965,313,127,,,,,,,,,,,,,,
Kőszegpaty,26046,község,Vas,178 0,Kőszegi,Kőszeg,5 ,Lukácsháza,"1,225",214,83,,,,,,,,,,,,,,
Kőszegszerdahely,20109,község,Vas,178 0,Kőszegi,Kőszeg,5 ,Lukácsháza,737,542,224,,,,,,,,,,,,,,
Kötcse,18148,község,Somogy,146 0,Siófoki,Siófok,5 ,Balatonszárszó,"1,954",489,291,,,,,,,,,,,,,,
Kötegyán,06804,község,Békés,051 0,Sarkadi,Sarkad,2 ,[Helyben],"4,295",1149,684,,,,,,,,1,1,,,,,
Kőtelek,11235,község,Jász-Nagykun-Szolnok,167 0,Szolnoki,Szolnok,2 ,[Helyben],"4,514",1510,812,,,,,,,,1,,,,,,
Kővágóörs,23454,község,Veszprém,189 0,Tapolcai,Tapolca,2 ,[Helyben],"2,206",648,418,,,,,,,,,,,,,,
Kővágószőlős,15538,község,Baranya,028 0,Pécsi,Pécs,5 ,Pellérd,"1,825",1360,569,,,,,,1,,1,,,,,,
Kővágótöttös,06992,község,Baranya,028 0,Pécsi,Pécs,5 ,Orfű,"1,394",311,132,,,,,,,,,,,,,,
Kövegy,09955,község,Csongrád-Csanád,073 0,Makói,Makó,5 ,Csanádpalota,971,300,230,,,,,,,,,,,,,,
Köveskál,25858,község,Veszprém,189 0,Tapolcai,Tapolca,5 ,Kővágóörs,"1,445",309,191,,,,,,,,,,,,,,
Krasznokvajda,19576,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,2 ,[Helyben],"1,144",442,201,,,,,,,,1,,,,,,
Kulcs,34209,község,Fejér,078 0,Dunaújvárosi,Dunaújváros,1 ,–,"1,673",3613,1530,,,,,,,,,,,,,,
Kunadacs,05856,község,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,2 ,[Helyben],"8,990",1367,708,,,,,,,,,,,,,,
Kunágota,16045,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,2 ,[Helyben],"6,396",2267,1239,,,,,,,,1,,,,,,
Kunbaja,06044,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,2 ,[Helyben],"3,372",1308,703,,,,,,1,,,,,,,,
Kunbaracs,07728,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,5 ,Ladánybene,"5,511",670,384,,,,,,,,,,,,,,
Kuncsorba,05254,község,Jász-Nagykun-Szolnok,169 0,Törökszentmiklósi,Törökszentmiklós,5 ,Tiszatenyő,"3,363",530,287,,,,,,,,,,,,,,
Kunfehértó,29027,község,Bács-Kiskun,041 0,Kiskunhalasi,Kiskunhalas,1 ,–,"7,837",2035,1045,,,,,,,,,,,,,,
Kunhegyes,22567,város,Jász-Nagykun-Szolnok,164 1,Kunhegyesi,Kunhegyes,1 ,–,"14,893",6823,3254,,,,,,,,1,,,,,,
Kunmadaras,23171,nagyközség,Jász-Nagykun-Szolnok,163 0,Karcagi,Karcag,2 ,[Helyben],"15,355",4851,1985,,,,,,,,1,,,,,,
Kunpeszér,31918,község,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,5 ,Kunadacs,"7,755",796,372,,,,,,,,,,,,,,
Kunszállás,31893,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,2 ,[Helyben],"2,085",1732,772,,,,,,,,,,,,,,
Kunszentmárton,32504,város,Jász-Nagykun-Szolnok,165 1,Kunszentmártoni,Kunszentmárton,2 ,[Helyben],"14,365",7052,3970,,,,,,,,1,,,,,,
Kunszentmiklós,28130,város,Bács-Kiskun,043 1,Kunszentmiklósi,Kunszentmiklós,1 ,–,"17,211",7987,3586,,,,,,,,1,,,,,,
Kunsziget,31626,község,Győr-Moson-Sopron,087 0,Győri,Győr,5 ,Dunaszeg,"1,786",1482,514,,,,,,,,,,,,,,
Kup,26541,község,Veszprém,187 0,Pápai,Pápa,5 ,Pápakovácsi,"2,478",406,176,,,,,,1,,1,,,,,,
Kupa,18722,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5 ,Homrogd,784,159,79,,,,,,,,,,,,,,
Kurd,20507,község,Tolna,171 0,Dombóvári,Dombóvár,2 ,[Helyben],"3,119",965,466,,,,,,1,,1,,,,,,
Kurityán,11819,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,5 ,Múcsony,754,1433,602,,,,,,,,1,,,,,,
Kustánszeg,19479,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Teskánd,"1,142",454,222,,,,,,,,,,,,,,
Kutas,28857,község,Somogy,145 0,Nagyatádi,Nagyatád,2 ,[Helyben],"3,655",1213,510,,,,,,,,1,,,,,,
Kutasó,19451,község,Nógrád,118 0,Pásztói,Pásztó,5 ,Mátraszőlős,605,86,69,,,,,,,,,,,,,,
Kübekháza,14410,község,Csongrád-Csanád,075 0,Szegedi,Szeged,2 ,[Helyben],"2,732",1432,580,,,,,,,,,,,,,,
Külsősárd,32221,község,Zala,194 0,Lenti,Lenti,5 ,Rédics,152,63,36,,,,,,,,,,,,,,
Külsővat,16142,község,Veszprém,187 0,Pápai,Pápa,5 ,Nemesszalók,"1,931",750,256,,,,,,,,,,,,,,
Küngös,04066,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,5 ,Balatonfőkajár,948,502,181,,,,,,,,,,,,,,
Lábatlan,15255,város,Komárom-Esztergom,110 0,Esztergomi,Esztergom,1 ,–,"2,637",4851,2107,,,,,,,,,,,,,,
Lábod,28291,község,Somogy,145 0,Nagyatádi,Nagyatád,2 ,[Helyben],"6,651",1706,749,,,,,,,,1,,,,,,
Lácacséke,20844,község,Borsod-Abaúj-Zemplén,054 0,Cigándi,Cigánd,5 ,Cigánd,"1,625",262,104,,,,,,,,1,,,,,,
Lad,16258,község,Somogy,140 0,Barcsi,Barcs,5 ,Csokonyavisonta,"2,235",525,267,,,,,,,,,,,,,,
Ladánybene,05786,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,2 ,[Helyben],"4,074",1712,758,,,,,,,,,,,,,,
Ládbesenyő,26231,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Szendrőlád,"1,040",263,125,,,,,,,,,,,,,,
Lajoskomárom,07506,nagyközség,Fejér,079 0,Enyingi,Enying,1 ,–,"7,567",1879,861,,,,,,,,,,,,,,
Lajosmizse,17677,város,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,2 ,[Helyben],"16,466",11662,4963,,,,,,,,1,,,,,,
Lak,15857,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Borsodszirák,"1,976",641,197,,,,,,,,,,,,,,
Lakhegy,33792,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Egervár,860,427,225,,,,,,,,,,,,,,
Lakitelek,06202,nagyközség,Bács-Kiskun,044 0,Tiszakécskei,Tiszakécske,1 ,–,"5,466",4886,2273,,,,,,,,,,,,,,
Lakócsa,11040,község,Somogy,140 0,Barcsi,Barcs,5 ,Darány,"2,532",487,239,,,,1,,,,1,,,,,,
Lánycsók,33330,község,Baranya,027 0,Mohácsi,Mohács,2 ,[Helyben],"2,540",2181,890,,,,1,,1,,1,,,,,,
Lápafő,14605,község,Tolna,171 0,Dombóvári,Dombóvár,5 ,Dombóvár,931,145,84,,,,,,,,,,,,,,
Lapáncsa,06479,község,Baranya,031 0,Siklósi,Siklós,5 ,Nagyharsány,436,158,72,,,,,,,,,,,,,,
Laskod,21290,község,Szabolcs-Szatmár-Bereg,148 0,Baktalórántházai,Baktalórántháza,5 ,Baktalórántháza,"1,359",774,380,,,,,,,,,,,,,,
Lasztonya,03434,község,Zala,195 0,Letenyei,Letenye,5 ,Bázakerettye,877,47,42,,,,,,,,,,,,,,
Látrány,14863,község,Somogy,142 0,Fonyódi,Fonyód,2 ,[Helyben],"2,231",1295,595,,,,,,,,1,,,,,,
Lázi,04376,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,5 ,Écs,"1,679",515,208,,,,,,,,,,,,,,
Leányfalu,30809,nagyközség,Pest,135 0,Szentendrei,Szentendre,1 ,–,"1,537",4053,1774,,,,,,,,,,,,,,
Leányvár,25487,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,5 ,Piliscsév,725,1761,644,,,,,,1,,,,,,,,
Lébény,33668,város,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,2 ,[Helyben],"8,140",3283,1325,,,,,,1,,,,,,,,
Legénd,30395,község,Nógrád,119 0,Rétsági,Rétság,5 ,Nézsa,"1,841",429,248,,,,,,,,1,,,,1,,
Legyesbénye,11660,község,Borsod-Abaúj-Zemplén,066 0,Szerencsi,Szerencs,5 ,Bekecs,"2,031",1366,618,,,,,,,,,,,,,,
Léh,03531,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5 ,Kázsmárk,843,444,156,,,,,,,,,,,,,,
Lénárddaróc,07038,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,5 ,Nekézseny,516,237,154,,,,,,,,,,,,,,
Lendvadedes,27483,község,Zala,194 0,Lenti,Lenti,5 ,Rédics,402,30,29,,,,,,,,,,,,,,
Lendvajakabfa,11475,község,Zala,194 0,Lenti,Lenti,5 ,Rédics,620,43,37,,,,,,,,,,,,,,
Lengyel,24411,község,Tolna,170 0,Bonyhádi,Bonyhád,5 ,Tevel,"2,003",456,235,,,,,,1,,1,,,,,,
Lengyeltóti,26675,város,Somogy,142 0,Fonyódi,Fonyód,2 ,[Helyben],"3,957",2837,1223,,,,,,,,1,,,,,,
Lenti,12575,város,Zala,194 1,Lenti,Lenti,1 ,–,"7,379",6820,3954,,,,,,,,1,,,,,,
Lepsény,07269,nagyközség,Fejér,079 0,Enyingi,Enying,1 ,–,"3,908",3016,1220,,,,,,,,,,,,,,
Lesencefalu,17570,község,Veszprém,189 0,Tapolcai,Tapolca,5 ,Lesencetomaj,718,298,152,,,,,,,,,,,,,,
Lesenceistvánd,21962,község,Veszprém,189 0,Tapolcai,Tapolca,2 ,[Helyben],"1,739",945,385,,,,,,,,,,,,,,
Lesencetomaj,17871,község,Veszprém,189 0,Tapolcai,Tapolca,2 ,[Helyben],"2,408",1034,374,,,,,,,,,,,,,,
Létavértes,05768,város,Hajdú-Bihar,096 0,Derecskei,Derecske,2 ,[Helyben],"11,661",6748,2631,,,,,,,,1,1,,,,,
Letenye,12122,város,Zala,195 1,Letenyei,Letenye,2 ,[Helyben],"4,174",3677,1564,,,,1,,,,1,,,,,,
Letkés,22682,község,Pest,137 0,Szobi,Szob,5 ,Márianosztra,"2,456",1034,433,,,,,,,,1,,,,,,
Levél,19239,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,5 ,Hegyeshalom,"2,492",2563,967,,,,,,1,,,,,,,,
Levelek,30979,nagyközség,Szabolcs-Szatmár-Bereg,148 0,Baktalórántházai,Baktalórántháza,2 ,[Helyben],"2,572",2662,950,,,,,,,,1,,,,,,
Libickozma,32355,község,Somogy,144 0,Marcali,Marcali,5 ,Pusztakovácsi,"2,297",28,52,,,,,,,,,,,,,,
Lickóvadamos,03054,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Gellénháza,669,200,124,,,,,,,,,,,,,,
Liget,17604,község,Baranya,026 0,Komlói,Komló,5 ,Magyarhertelend,"1,207",356,143,,,,,,,,1,,,,,,
Ligetfalva,28200,község,Zala,193 0,Keszthelyi,Keszthely,5 ,Zalacsány,473,66,39,,,,,,,,,,,,,,
Lipót,16221,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,5 ,Darnózseli,"1,609",840,356,,,,,,,,,,,,,,
Lippó,22974,község,Baranya,027 0,Mohácsi,Mohács,5 ,Nagynyárád,"1,453",469,206,,,,,,1,,,,,1,,,
Liptód,10038,község,Baranya,024 0,Bólyi,Bóly,5 ,Babarc,"1,499",175,127,,,,,,1,,,,,,,,
Lispeszentadorján,10889,község,Zala,195 0,Letenyei,Letenye,5 ,Bázakerettye,914,234,158,,,,,,,,,,,,,,
Liszó,25025,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5 ,Surd,"2,591",341,171,,,,,,,,,,,,,,
Litér,04552,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,2 ,[Helyben],"1,283",2192,776,,,,,,,,,,,,,,
Litka,28219,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5 ,Szalaszend,666,31,37,,,,,,,,,,,,,,
Litke,04871,község,Nógrád,120 0,Salgótarjáni,Salgótarján,5 ,Mihálygerge,"1,816",746,329,,,,,,,,1,,,,,,
Lócs,29081,község,Vas,178 0,Kőszegi,Kőszeg,5 ,Csepreg,513,152,100,,,,,,,,,,,,,,
Lókút,18856,község,Veszprém,192 0,Zirci,Zirc,5 ,Zirc,"1,811",479,226,,,,,,1,,,,,,,,
Lónya,26091,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,5 ,Tiszakerecseny,"3,548",654,386,,,,,,,,,,,,,,
Lórév,09140,község,Pest,134 0,Ráckevei,Ráckeve,5 ,Szigetbecse,988,294,123,,,,,,,,,,,1,,,
Lothárd,31389,község,Baranya,028 0,Pécsi,Pécs,5 ,Pécsudvard,"1,046",234,111,,,,1,,,,,,,,,,
Lovas,05564,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Alsóörs,595,544,240,,,,,,,,,,,,,,
Lovasberény,19114,község,Fejér,085 0,Székesfehérvári,Székesfehérvár,1 ,–,"6,062",2768,1199,,,,,,,,,,,,,,
Lovászhetény,24624,község,Baranya,029 0,Pécsváradi,Pécsvárad,5 ,Pécsvárad,895,261,113,,,,,,1,,,,,,,,
Lovászi,28167,község,Zala,194 0,Lenti,Lenti,2 ,[Helyben],967,1095,571,,,,,,,,1,,,,,,
Lovászpatona,05087,község,Veszprém,187 0,Pápai,Pápa,5 ,Ugod,"4,990",1116,512,,,,,,,,1,,,,,,
Lőkösháza,21209,község,Békés,048 0,Gyulai,Gyula,5 ,Elek,"5,202",1406,786,,,,,,,,1,1,,,,,
Lőrinci,30401,város,Heves,107 0,Hatvani,Hatvan,1 ,–,"2,353",5365,2304,,,,,,,,1,,,,,,
Lövő,31194,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,2 ,[Helyben],"1,747",1364,566,,,,,,,,,,,,,,
Lövőpetri,07995,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,5 ,Pap,926,423,217,,,,,,,,,,,,,,
Lucfalva,20190,község,Nógrád,120 0,Salgótarjáni,Salgótarján,2 ,[Helyben],"1,410",556,214,,,,,,,,1,,,,1,,
Ludányhalászi,02778,község,Nógrád,121 0,Szécsényi,Szécsény,2 ,[Helyben],"2,113",1410,467,,,,,,,,1,,,,,,
Ludas,15796,község,Heves,106 0,Gyöngyösi,Gyöngyös,5 ,Karácsond,"1,079",704,371,,,,,,,,,,,,,,
Lukácsháza,14021,község,Vas,178 0,Kőszegi,Kőszeg,2 ,[Helyben],936,1067,411,,,,,,,,,,,,,,
Lulla,10010,község,Somogy,147 0,Tabi,Tab,5 ,Tab,"1,039",206,97,,,,,,,,,,,,,,
Lúzsok,18865,község,Baranya,030 0,Sellyei,Sellye,5 ,Vajszló,652,198,70,,,,,,,,,,,,,,
Mád,03902,község,Borsod-Abaúj-Zemplén,066 0,Szerencsi,Szerencs,1 ,–,"3,186",1774,1093,,,,,,,,1,,,,,,
Madaras,23357,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,1 ,–,"4,931",2509,1424,,,,,,,,1,,,,,,
Madocsa,29337,község,Tolna,172 0,Paksi,Paks,5 ,Bölcske,"4,333",1762,825,,,,,,,,,,,,,,
Maglóca,26444,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Bősárkány,577,133,63,,,,,,,,,,,,,,
Maglód,10922,város,Pest,139 0,Vecsési,Vecsés,1 ,–,"2,238",12303,4438,,,,,,,,1,,,,1,,
Mágocs,06813,város,Baranya,025 0,Hegyháti,Sásd,2 ,[Helyben],"4,254",2135,910,,,,,,1,,1,,,,,,
Magosliget,29984,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,5 ,Méhtelek,517,281,87,,,,,,,,,,,,,,
Magy,16629,község,Szabolcs-Szatmár-Bereg,148 0,Baktalórántházai,Baktalórántháza,5 ,Ramocsaháza,"2,070",837,317,,,,,,,,,,,,,,
Magyaralmás,27678,község,Fejér,082 0,Móri,Mór,2 ,[Helyben],"2,242",1666,621,,,,,,,,,,,,,,
Magyaratád,10427,község,Somogy,143 0,Kaposvári,Kaposvár,2 ,[Helyben],"1,882",735,324,,,,,,,,,,,,,,
Magyarbánhegyes,27906,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,1 ,–,"3,656",1757,1045,,,,,,,,1,,,,,,
Magyarbóly,25177,község,Baranya,031 0,Siklósi,Siklós,5 ,Nagyharsány,"1,722",895,359,,,,,,1,,,,,1,,,
Magyarcsanád,05962,község,Csongrád-Csanád,073 0,Makói,Makó,5 ,Apátfalva,"4,802",1229,678,,,,,,,,1,1,,1,,,
Magyardombegyház,11536,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,5 ,Kevermes,765,161,153,,,,,,,,,,,,,,
Magyaregregy,29753,község,Baranya,026 0,Komlói,Komló,5 ,Egyházaskozár,"2,681",656,338,,,,,,1,,1,,,,,,
Magyaregres,25371,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Juta,"1,440",544,217,,,,,,,,,,,,,,
Magyarföld,08916,község,Zala,194 0,Lenti,Lenti,5 ,Csesztreg,889,38,30,,,,,,,,,,,,,,
Magyargéc,26967,község,Nógrád,121 0,Szécsényi,Szécsény,5 ,Nógrádmegyer,"1,235",788,288,,,,,,,,1,,,,,,
Magyargencs,26374,község,Veszprém,187 0,Pápai,Pápa,5 ,Nemesgörzsöny,"3,800",464,257,,,,,,,,,,,,,,
Magyarhertelend,05430,község,Baranya,026 0,Komlói,Komló,2 ,[Helyben],"1,616",531,283,,,,,,1,,1,,,,,,
Magyarhomorog,03683,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5 ,Körösszegapáti,"3,958",717,441,,,,,,,,,,,,,,
Magyarkeresztúr,13912,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Rábatamási,"1,673",393,218,,,,,,,,,,,,,,
Magyarkeszi,06017,község,Tolna,174 0,Tamási,Tamási,2 ,[Helyben],"3,816",1022,582,,,,,,,,1,,,,,,
Magyarlak,03221,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,5 ,Csörötnek,762,739,320,,,,,,,,,,,,,,
Magyarlukafa,23542,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Mozsgó,"1,297",82,52,,,,,,,,,,,,,,
Magyarmecske,05412,község,Baranya,030 0,Sellyei,Sellye,5 ,Csányoszró,"1,195",304,110,,,,,,,,1,,,,,,
Magyarnádalja,27289,község,Vas,177 0,Körmendi,Körmend,5 ,Vasalja,385,265,97,,,,,,,,,,,,,,
Magyarnándor,32407,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,2 ,[Helyben],"1,867",1077,464,,,,,,,,1,,,,,,
Magyarpolány,20437,község,Veszprém,183 0,Ajkai,Ajka,2 ,[Helyben],"2,696",1240,526,,,,,,1,,,,,,,,
Magyarsarlós,27067,község,Baranya,028 0,Pécsi,Pécs,5 ,Nagykozár,803,271,111,,,,1,,,,,,,,,,
Magyarszecsőd,17288,község,Vas,177 0,Körmendi,Körmend,5 ,Molnaszecsőd,"1,126",405,190,,,,,,,,,,,,,,
Magyarszék,22600,község,Baranya,026 0,Komlói,Komló,5 ,Magyarhertelend,"1,386",946,388,,,,,,1,,1,,,,,,
Magyarszentmiklós,02909,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5 ,Újudvar,420,247,102,,,,,,1,,,,,,,,
Magyarszerdahely,13064,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5 ,Hahót,"1,622",410,173,,,,,,,,,,,,,,
Magyarszombatfa,25423,község,Vas,177 0,Körmendi,Körmend,5 ,Őriszentpéter,"1,594",241,131,,,,,,,,,,,,,,
Magyartelek,04385,község,Baranya,030 0,Sellyei,Sellye,5 ,Csányoszró,684,198,67,,,,,,,,,,,,,,
Majosháza,10755,község,Pest,136 0,Szigetszentmiklósi,Szigetszentmiklós,5 ,Dunavarsány,"1,142",1697,714,,,,,,,,,,,,,,
Majs,27863,község,Baranya,027 0,Mohácsi,Mohács,5 ,Lánycsók,"3,206",828,401,,,,,,1,,,,,,,,
Makád,04394,község,Pest,134 0,Ráckevei,Ráckeve,5 ,Szigetbecse,"3,177",1206,578,,,,,,,,,,,,,,
Makkoshotyka,19600,község,Borsod-Abaúj-Zemplén,064 0,Sárospataki,Sárospatak,5 ,Vajdácska,"1,041",733,293,,,,,,,,1,,,,,,
Maklár,27696,község,Heves,104 0,Egri,Eger,2 ,[Helyben],"2,801",2368,972,,,,,,,,,,,,,,
Makó,07357,város,Csongrád-Csanád,073 1,Makói,Makó,1 ,–,"22,923",21703,11048,,,,,,,,1,1,,,,,
Malomsok,03610,község,Veszprém,187 0,Pápai,Pápa,5 ,Csót,"2,574",476,247,,,,,,,,,,,,,,
Mályi,27395,község,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,1 ,–,"1,128",4371,1746,,,,,,,,,,,,,,
Mályinka,14915,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,2 ,[Helyben],"2,421",451,246,,,,,,,,,,,,,,
Mánd,02088,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,5 ,Túristvándi,517,272,100,,,,,,,,,,,,,,
Mándok,17826,város,Szabolcs-Szatmár-Bereg,160 0,Záhonyi,Záhony,1 ,–,"2,891",3648,1442,,,,,,,,1,,,,,,
Mánfa,33923,község,Baranya,026 0,Komlói,Komló,5 ,Komló,"2,770",736,321,,,,,,,,1,,,,,,
Mány,23490,község,Fejér,077 0,Bicskei,Bicske,1 ,–,"4,472",2392,896,,,,,,1,,1,,,,,,
Maráza,29920,község,Baranya,027 0,Mohácsi,Mohács,5 ,Himesháza,970,168,92,,,,,,1,,,,,,,,
Marcalgergelyi,29294,község,Veszprém,187 0,Pápai,Pápa,5 ,Nemesszalók,776,356,168,,,,,,,,,,,,,,
Marcali,18500,város,Somogy,144 1,Marcali,Marcali,2 ,[Helyben],"10,440",10373,5214,,,,,,1,,1,,,,,,
Marcaltő,22220,község,Veszprém,187 0,Pápai,Pápa,5 ,Csót,"2,208",730,335,,,,,,,,,,,,,,
Márfa,09450,község,Baranya,031 0,Siklósi,Siklós,5 ,Nagyharsány,409,184,75,,,,,,,,,,,,,,
